,time,value1,value2,value3
45,45,0.46192569838881364,1.844479486990414,-0.7760038063299767
46,46,-0.33279536004992616,0.007177774555841454,2.07233156478312
47,47,1.7174903558319101,2.057016288095853,2.0196185920368213
48,48,-0.6538978475579516,-0.3559074105115212,0.1466357407957971
49,49,0.7672597197860312,0.518415395185291,-0.486424327802514
50,50,0.10453343880632437,0.9317583946753688,1.5210648764527586
51,51,2.4569024978592617,3.753342721649367,2.4642120301869337
52,52,1.629194862431127,1.3352451779515602,3.2219531633207796
53,53,1.0293678158775879,1.2935614613409858,2.800671582854905
54,54,2.2518177716613454,2.0615474755745677,3.8515387510701866
55,55,2.7783318705304176,1.5365217136378928,3.894749143656006
56,56,2.486517222383168,3.366635922106507,2.5144026215364157
57,57,2.7924718977397816,1.200068491636577,1.8966360446049448
58,58,1.9256779063190366,1.1725313475888979,1.7370616026649184
59,59,2.267258834012862,1.9221799552555658,3.970379379107205
60,60,2.027539552224049,1.9019675493076955,2.2111407422159717
61,61,2.410446838459458,4.369532053816986,2.9331836457013125
62,62,2.026853717955546,3.4294208069257612,2.8836859615494923
63,63,1.1837173976683228,2.6075512413851905,3.467432703730453
64,64,3.1574261422537533,1.3345644811698325,1.6237201941534936
65,65,2.6482190637917378,3.4443629764015466,3.7887785967938283
66,66,1.4898016530339555,1.6397846526104354,4.163891023834205
67,67,3.652782255525774,1.1352289032223881,3.768422087044661
68,68,2.352701635616758,3.908029792352302,3.4091138283015283
69,69,3.381945395796139,3.0769426119248493,3.8574001662687833
70,70,4.129090562177537,3.7208588237808193,4.199046345640131
71,71,3.5989829107574103,3.1587276529430213,1.0674072435733497
72,72,4.6794006845433005,3.736830611902691,5.835912308250694
73,73,2.375174179646348,2.268974406699853,4.310093322687926
74,74,4.082341641177549,1.9257571582155353,3.30759141761298
75,75,3.065189909059687,3.681594518281627,3.609046624812399
76,76,2.9492028508181187,2.236590335826159,4.533741777349189
77,77,3.3111503352355847,2.3904502222497994,3.9638960609656335
78,78,3.6484474678726273,2.664467496482657,2.0893155322185057
79,79,4.086165342229745,3.177479159025057,6.22449286135932
80,80,2.9348501592166434,2.8460060887465164,4.089459342767528
81,81,5.0708264869541875,1.8650487065819814,5.2601727117158
82,82,4.70566243973046,2.6363815971671096,3.587950152215609
83,83,2.7737563137227768,1.0965968477755736,5.856377054245798
84,84,5.8682521937956,3.9852314510271873,4.646343688892279
85,85,6.345889176030584,1.7979423443932527,5.008843834475451
86,86,5.69877957115965,2.335616660571549,3.3947466338530448
87,87,4.410075164187649,3.5321650792609747,5.6911452896827015
88,88,3.589247378489458,2.7804370036086863,5.209818164534788
89,89,5.784451726931137,5.103014595406736,5.861846229564999
90,90,4.39682305302682,2.307143090276551,3.9719124403584205
91,91,6.092445070382428,3.9070508693491837,4.158972881539213
92,92,5.14827497807686,3.640717181772504,6.9839166976839415
93,93,5.986639036483712,2.551906502258803,3.6599841772784534
94,94,5.436366397174402,4.283276660531754,4.624050299321679
95,95,5.856573168191948,3.628453668777752,5.936891362602696
96,96,5.230500020720821,4.611790551213668,4.937724967714855
97,97,7.0758704939058354,4.703504153963731,5.462953679753293
98,98,5.48691209270362,6.08323594928069,4.5205509707371245
99,99,5.831989363444701,5.296527949436392,5.330055887847519
